month_idx,is_exam,is_festival,avg_prev3,total_spend
1,0,1,9396,12036
2,0,0,9387,9245
3,1,0,8433,8537
4,1,0,8637,8443
5,0,0,8954,9493
6,0,0,8863,10074
7,0,0,9330,8950
8,0,0,8865,8208
9,0,0,9241,8711
10,0,1,9388,11477
11,1,0,9149,8350
12,0,1,9085,11065
1,0,1,9529,11204
2,0,0,8949,10009
3,1,0,8481,8243
4,1,0,8674,8180
5,0,0,9078,9498
6,0,0,9628,8958
7,0,0,8819,8122
8,0,0,8974,7963
9,0,0,8836,9093
10,0,1,8924,10542
11,1,0,8853,8294
12,0,1,9671,11018
1,0,1,8979,10797
2,0,0,9075,10520
3,1,0,8037,8633
4,1,0,8352,8518
5,0,0,9094,9680
6,0,0,8797,8916
7,0,0,8617,8965
8,0,0,8624,9195
9,0,0,8531,9191
10,0,1,9252,12367
11,1,0,8779,8120
12,0,1,9115,10419
1,0,1,9285,11440
2,0,0,8482,9003
3,1,0,8946,9062
4,1,0,8767,8316
5,0,0,9081,9173
6,0,0,9416,9757
7,0,0,8667,9208
8,0,0,8936,9177
9,0,0,8934,8665
10,0,1,9712,10255
11,1,0,8562,8915
12,0,1,9276,12003
1,0,1,9387,11671
2,0,0,8917,8194
3,1,0,8717,6875
4,1,0,8810,9145
5,0,0,8948,9464
6,0,0,9276,9593
7,0,0,9252,8884
8,0,0,8401,9900
9,0,0,9070,8235
10,0,1,9645,12062
11,1,0,8679,8445
12,0,1,10006,11988
1,0,1,9908,11015
2,0,0,9130,9741
3,1,0,8858,9009
4,1,0,8860,9152
5,0,0,8931,9286
6,0,0,9131,9808
7,0,0,9161,8959
8,0,0,9211,9198
9,0,0,9028,8746
10,0,1,9486,12473
11,1,0,8780,8010
12,0,1,8920,11527
1,0,1,9133,10777
2,0,0,9957,8746
3,1,0,9086,7957
4,1,0,8624,8684
5,0,0,8885,8229
6,0,0,8954,7931
7,0,0,8556,8797
8,0,0,8658,8455
9,0,0,9087,8461
10,0,1,8837,12094
11,1,0,8742,8154
12,0,1,9654,11216
1,0,1,9513,10777
2,0,0,9029,9551
3,1,0,9027,9091
4,1,0,8969,8536
5,0,0,8891,9581
6,0,0,8825,8513
7,0,0,8979,8989
8,0,0,8783,8349
9,0,0,8849,8911
10,0,1,9323,11656
11,1,0,8806,7502
12,0,1,9516,11726
1,0,1,9662,12075
2,0,0,8737,8988
3,1,0,8509,8993
4,1,0,8988,8783
5,0,0,8497,8247
6,0,0,8468,7835
7,0,0,8839,8509
8,0,0,9433,9223
9,0,0,8998,7366
10,0,1,9530,11587
11,1,0,8764,7769
12,0,1,9672,10650
1,0,1,9298,12995
2,0,0,9218,8860
3,1,0,8562,8321
4,1,0,8432,8163
5,0,0,9075,8620
6,0,0,9136,10234
7,0,0,9231,8541
8,0,0,8668,9347
9,0,0,9290,8908
10,0,1,9214,11720
11,1,0,8856,8479
12,0,1,10361,11846
1,0,1,9343,11371
2,0,0,9116,9191
3,1,0,8399,7554
4,1,0,9062,8097
5,0,0,9026,9796
6,0,0,8943,9231
7,0,0,9385,8871
8,0,0,9554,9153
9,0,0,8935,8898
